idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf
24-17891;24_17891;;La présente consultation a pour objet la réalisation d'une mission de maîtrise d'oeuvre portant sur l'aménagement intérieur du futur Centre Municipal de Santé de la commune de Bezons (95870).;24-17891;JOUE;['95'];;Marchés européens;2024-02-14;2024-03-22;2024-03-22T10:00:00+00:00;Tribunal Administratif de Cergy-Pontoise;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17891;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17891.pdf
24-17929;24_17929;;Accord cadre pour la fourniture de carburants par cartes accréditives pour les véhicules et engins;24-17929;JOUE;['63'];;Marchés européens;2024-02-14;2024-03-20;2024-03-20T11:00:00+00:00;Mairie de Thiers;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['52'];['52'];['Carburant, hydrocarbure'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17929;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17929.pdf
24-17937;24_17937;;ENTRETIEN DES RESEAUX ET OUVRAGES D'ASSAINISSEMENT : EAUX USEES, EAUX PLUVIALES ET ELIMINATION DES MATIERES DE CURAGE;24-17937;JOUE;['38'];;Marchés européens;2024-02-14;2024-03-18;2024-03-18T11:00:00+00:00;Vienne Condrieu Agglomération;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['18', '78', '274'];['18', '78', '274'];['Assainissement', 'Curage', 'Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17937;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17937.pdf
24-17710;24_17710;;Transport et traitement des lixiviats;24-17710;JOUE;['71'];;Marchés européens;2024-02-14;2024-03-15;2024-03-15T15:30:00+00:00;Tribunal Administratif de Dijon;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['208'];['208'];['Matériel de manutention'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17710;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17710.pdf
24-17772;24_17772;;Sonorisation Foirail - Fournitures de matériels scéniques;24-17772;JOUE;['64'];;Marchés européens;2024-02-14;2024-03-15;2024-03-15T22:59:00+00:00;VILLE DE PAU;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['216'];['216'];['Matériel scénique'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17772;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17772.pdf
24-17778;24_17778;;Réalisation de services topographiques et autres relevés de données de terrain pour le compte du Symbhi;24-17778;JOUE;['38'];;Marchés européens;2024-02-14;2024-03-12;2024-03-12T11:00:00+00:00;Hôtel du Département;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['344'];['344'];['Topographie'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17778;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17778.pdf
24-17913;24_17913;;Fourniture de consommables médicaux et produits pharmaceutiques - lots 1 et 2;24-17913;JOUE;['94', '91', '92', '93', '75', '77'];;Marchés européens;2024-02-14;2024-03-19;2024-03-19T11:00:00+00:00;Ville de Saint-Maur-des-Fossés;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['280'];['280'];['Produits pharmaceutiques'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17913;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17913.pdf
24-17492;24_17492;;Fourniture de prestations de service pour l'exploitation et la maintenance des installations techniques et des équipements du TJ de Pontoise visant au maintien dans le temps des équipements proches au;24-17492;JOUE;['95', '92', '78', '75'];;Marchés européens;2024-02-14;2024-02-21;2024-02-23T10:00:00+00:00;Service Administratif Régional de la cour d'appel de Versailles, 5 rue Carnot - RP 1113 - 78011 VERSAILLES;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['196'];['196'];['Maintenance'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17492;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17492.pdf
24-17636;24_17636;;travaux de remplacement des menuiseries extérieures de l'Immeuble de l'UIOSS de RENNES;24-17636;JOUE;['35', '22', '44', '50', '56', '53', '49', '72', '85'];;Marchés européens;2024-02-14;2024-02-29;2024-02-29T15:00:00+00:00;UIOSS RENNES;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['222'];['222'];['Menuiserie'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17636;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17636.pdf
24-17670;24_17670;;ENTRETIEN, CONTROLE ET REPARATION DE TENUES TEXTILES DE FEU;24-17670;JOUE;['17'];;Marchés européens;2024-02-14;2024-03-11;2024-03-15T11:00:00+00:00;SDIS (17);;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['36', '274', '150'];['36', '274', '150'];['Blanchissage', 'Prestations de services', 'Habillement'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17670;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17670.pdf
