idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf;gpt_response
24-15577;24_15577;;Impression de documents de communication pour l'Opéra de Limoges pour la saison 2024/2025;24-15577;FNS;['87'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-08;2024-03-08T12:30:00+00:00;Opéra de Limoges;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['160'];['160'];['Impression'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15577;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15577.pdf;FALSE
24-15579;24_15579;;Collecte, Traitement, Recyclage Des Dechets Papiers, Cartons Et Mise A Disposition D'Une Benne, Collecte, Destruction Confidentielle D'Archives;24-15579;FNS;['35'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-14;2024-03-14T12:00:00+00:00;Conseil Départemental d'Ille et Vilaine;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['54', '84', '262', '404'];['54', '84', '262', '404'];['Carton', 'Décharge', 'Papeterie', 'Déchets non ménagers (prestations)'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15579;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15579.pdf;FALSE
24-15589;24_15589;;Reconstruction du mur de la cour basse et modification du mur de la cour haute : démolition, terrassement, fondation, désamiantage, maçonnerie, VRD, serrurerie, peintures.;24-15589;FNS;['75'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-12;2024-03-12T12:00:00+00:00;Ville de paris DCPA SLA 715;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['144'];['144'];['Gros oeuvre'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15589;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15589.pdf;FALSE
24-15697;24_15697;;Marchés de travaux pour la réhabilitation du Bâtiment administratif de l'ancien hôpital du Grau Du Roi - Relance des lots 7, 8 et 9. Commune de le Grau Du Roi;24-15697;FNS;['30'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-04-08;2024-03-05T18:00:00+00:00;Groupement de commande SPL 30 / Université de Montpellier;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['222', '321', '308'];['222', '321', '308'];['Menuiserie', 'Serrurerie', 'Revêtements de sols'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15697;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15697.pdf;FALSE
24-15719;24_15719;;Assistance à maîtrise d'ouvrage (Amo) de mise à disposition par la Région aux communes pour les accompagner dans la mise en oeuvre des procédures foncières relevant de la compétenc;24-15719;FNS;['67', '68', '57', '54', '88', '55', '52', '08', '51'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T12:00:00+00:00;Région Grand Est;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15719;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15719.pdf;FALSE
24-15725;24_15725;;Travaux d'extension et de requalification de la déchetterie de Corte;24-15725;FNS;['20B'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-05-07;;Syvadec;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['96'];['96'];['Déchetterie (travaux)'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15725;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15725.pdf;FALSE
24-15566;24_15566;;Travaux de restauration du bocage sur le périmètre du programme Breizh Bocage en Baie de la Forêt - Lot n° 1 (relance suite infructuosité);24-15566;FNS;['29', '56'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T12:00:00+00:00;CONCARNEAU CORNOUAILLE AGGLOMERATION;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['348'];['348'];['Travaux agricoles'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15566;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15566.pdf;FALSE
24-15569;24_15569;;Accord-cadre de formations sur l'agilité destinées aux agents de la Direction des Systèmes d'Information et des Usages Numériques du Conseil départemental des Bouches-du-Rhône;24-15569;FNS;['13'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-04-30;;CONSEIL DEPARTEMENTAL DES BOUCHES DU RHONE;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['118'];['118'];['Etude'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15569;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15569.pdf;FALSE
24-15596;24_15596;;Le présent marché a pour objet la location, la réparation et la maintenance des photocopieurs pour les services de la Ville de Vaucresson (92420);24-15596;FNS;['92'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-08;2024-03-08T12:00:00+00:00;Territorial;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['160', '162', '185'];['160', '162', '185'];['Impression', 'Informatique (matériel)', 'Location (matériels)'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15596;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15596.pdf;FALSE
24-15609;24_15609;;Marché de maîtrise d'oeuvre ayant pour objet les travaux de réfection des couvertures et des étanchéités d'établissements gérés par le C.R.O.U.S. de Lille.;24-15609;FNS;['59', '62'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T12:00:00+00:00;C.R.O.U.S. de Lille Direction de la Commande Publique;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['118'];['118'];['Etude'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15609;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15609.pdf;FALSE
