idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf
24-16145;24_16145;;Réhabilitation du quartier du marché couvert de la ville de Tonnerre;24-16145;FNS;['89'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-15;2024-03-15T12:00:00+00:00;Ville de Tonnerre;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['87', '358', '144', '222'];['87', '358', '144', '222'];['Démolition', 'Végétaux', 'Gros oeuvre', 'Menuiserie'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16145;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16145.pdf
24-16158;24_16158;;Mission de maitrise d'oeuvre pour l'aménagement du futur Centre d'Art pour les 0 à 6 ans à Montpellier;24-16158;FNS;['34'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-06;2024-03-06T12:00:00+00:00;Ville de Montpellier;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['197', '274'];['197', '274'];"[""Maîtrise d'oeuvre"", 'Prestations de services']";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16158;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16158.pdf
24-16169;24_16169;;Prestations pour l'aménagement du local Yélo Deta loué par la RTCR;24-16169;FNS;['17'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-22;;Régie Transp. Communautaires Rochelais;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['270', '105', '27', '203'];['270', '105', '27', '203'];['Plomberie (travaux)', 'Electricité (travaux)', 'Bâtiments modulaires', 'Matériel électrique'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16169;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16169.pdf
24-16179;24_16179;;Accord Cadre - Amo Economie de la Construction;24-16179;FNS;['69'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-04;2024-03-04T12:00:00+00:00;Lyon Confluence;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['455'];['455'];['Ingénierie'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16179;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16179.pdf
24-16052;24_16052;;Fourniture de carburant par cartes accréditives pour les véhicules du SMMAR sur le bassin versant de l'Aude, de la Berre et du Rieu et le territoire national.;24-16052;FNS;['11'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T13:00:00+00:00;SMMAR (Syndicat Mixte Milieux Aquatiques et Rivières), avenue Claude Bernard, 11855 CARCASSONNE;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['155'];['155'];['Hydrocarbures naturels'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16052;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16052.pdf
24-16083;24_16083;;Travaux de rénovation de trois sentiers dans la Restonica;24-16083;FNS;['20B', '20A'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-04;2024-03-04T12:00:00+00:00;Commune de Corte;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['350'];['350'];['Travaux forestiers'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16083;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16083.pdf
24-15853;24_15853;;Acquisition et mise en oeuvre d'un Sigb et d'une solution portail pour la Médiathèque Départementale des Alpes-de-Haute-Provence;24-15853;FNS;['04'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-12;2024-03-12T12:00:00+00:00;Département des Alpes de Haute Provence;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['163', '186'];['163', '186'];['Informatique (prestations de services)', 'Logiciel'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15853;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15853.pdf
24-15886;24_15886;;RELANCE APRES DEFAILLANCE DU TITULAIRE DU LOT N°2 GROS-OEUVRE ET CARRELAGE DU MARCHE COUVERTURE ET AMENAGEMENT D'AIRES DE JEUX AU STADE MAX SORON CONFORME AUX NORMES SISMIQUES.;24-15886;FNS;['972'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-26;;Ville de DUCOS.;;FNSimple;;;Procédure NC;/;RECTIFICATIF;;Rectificatif;Rectificatif;rectificatif/standard;Rectificatif/;;;;RECTIFICATIF;['144', '53'];['144', '53'];['Gros oeuvre', 'Carrelage'];['TRAVAUX'];['Travaux'];;;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15886;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15886.pdf
24-15905;24_15905;;Travaux de démolition ZAC RESTANQUE;24-15905;FNS;['34'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-19;;Aménagement;;FNSimple;;;Procédure NC;/;RECTIFICATIF;;Rectificatif;Rectificatif;rectificatif/standard;Rectificatif/;;;;RECTIFICATIF;['353'];['353'];['Travaux de viabilité'];['TRAVAUX'];['Travaux'];;;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15905;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15905.pdf
24-15945;24_15945;;Fourniture de matériel informatique (réseaux) et installation et paramétrage de la (les) solution(s). Lieu d'exécution : Espace Culturel de la Communauté de Communes du Pays de Nay;24-15945;MAPA;['64', '65', '33', '32', '31', '40'];;Marchés <90 k€ (MAPA);2024-02-08;2024-03-05;2024-03-04T12:00:00+00:00;Moyens généraux, Informatique;;MAPA;PROCEDURE_ADAPTE;;Procédure Adaptée;PROCEDURE_ADAPTE/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['163', '306', '162', '454'];['163', '306', '162', '454'];['Informatique (prestations de services)', 'Réseaux divers', 'Informatique (matériel)', 'Informatique (maintenance serveurs et réseaux)'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15945;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15945.pdf
