idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf
24-20101;24_20101;;Fourniture de produits et matériels d'entretien d'hygiène et de jetables pour les besoins de la ville de Montgeron;24-20101;JOUE;['91', '77', '94', '75', '92', '93'];;Marchés européens;2024-02-18;2024-04-19;2024-03-19T14:00:00+00:00;Mairie de Montgeron;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['278'];['278'];"[""Produits d'entretien""]";['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20101;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20101.pdf
24-20105;24_20105;;AB- Fourniture et maintenance de fontaines à boire sur le territoire de Bordeaux Métropole;24-20105;JOUE;['33'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T15:00:00+00:00;Bordeaux Métropole;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['196', '449'];['196', '449'];['Maintenance', 'Fontaine'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20105;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20105.pdf
24-20109;24_20109;;Groupement de commande pour la fourniture et la livraison de volailles, oeufs et ovoproduits;24-20109;JOUE;['37'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T15:00:00+00:00;Conseil départemental d'Indre et Loire;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['88'];['88'];['Denrées alimentaires'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20109;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20109.pdf
24-20117;24_20117;;Missions ponctuelles de recherche pour le CHU de Poitiers;24-20117;JOUE;['86'];;Marchés européens;2024-02-18;2024-03-20;2024-03-20T14:00:00+00:00;CHU POITIERS;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20117;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20117.pdf
24-19899;24_19899;;marché d'acquisition et de maintenance de matériels et machines de blanchisserie;24-19899;JOUE;['974'];;Marchés européens;2024-02-18;2024-03-07;2024-03-25T08:00:00+00:00;ASSOCIATION FREDERIC LEVAVASSEUR;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['194'];['194'];['Machines-outils'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19899;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19899.pdf
24-19889;24_19889;;FOURNITURE DE DIVERSES IMPRIMES ET RUBANS THERMIQUES POUR LE CHU DE MONTPELLIER ETABLISSEMENT SUPPORTS DU GHT EHSA;24-19889;JOUE;['34', '12'];;Marchés européens;2024-02-18;2024-03-06;2024-03-06T10:00:00+00:00;CHU MONTPELLIER;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['161'];['161'];['Imprimés'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19889;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19889.pdf
24-20006;24_20006;;Fourniture, mise en place et exploitation du réseau des déchèteries mobiles sur le territoire de l'EPT Boucle Nord de Seine (hors Argenteuil);24-20006;JOUE;['92'];;Marchés européens;2024-02-18;2024-04-20;2024-03-25T10:00:00+00:00;TRIBUNAL ADMINISTRATIF DE CERGY-PONTOISE;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['249'];['249'];['Ordures ménagères (prestations)'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20006;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20006.pdf
24-20021;24_20021;;Prestations d'étude, d'administration et d'exploitation de la messagerie Domino du Département de la Charente;24-20021;JOUE;['16'];;Marchés européens;2024-02-18;2024-03-19;2024-03-19T16:00:00+00:00;Conseil Départemental de la Charente;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['163'];['163'];['Informatique (prestations de services)'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20021;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20021.pdf
24-20011;24_20011;;Création d'une aire de lavage;24-20011;JOUE;['74'];;Marchés européens;2024-02-18;2024-03-11;2024-03-11T11:00:00+00:00;Commune des Gets;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['341'];['341'];['Terrassement'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20011;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20011.pdf
24-20060;24_20060;;FOURNITURE ET LIVRAISON DE VACCINS POUR LES SERVICES DU DEPARTEMENT DE L'HERAULT  -  8 LOTS;24-20060;JOUE;['34'];;Marchés européens;2024-02-18;2024-05-15;;Conseil départemental de l'Hérault;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['274'];['274'];['Prestations de services'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20060;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20060.pdf
