id,description
273310,"Polster für Sitz-, Rücken-, Kopf- und Stehhilfen, Auflagen für Armlehnen RABe511"
273310,"Rembourrages et des revêtements pour les coussins des assises, des dossiers, des appuis-tête, des appuis «assis-debout» et des accoudoirs destinés à la flotte RABe 511"
273762,Contrat-cadre pour la planification de projets de systèmes de sécurité
273762,Rahmenvertrag Projektierungsleistungen Sicherungsanlagen
274281,Wettbewerbsverfahren Erweiterung BBZW+G Sursee
266902,Liestal: Submission Abfallsammlungen
269398,Behindertentransport-Fahrzeuge BTZ
272108,Zweiwegefahrzeuge schweizweit
272108,Véhicules rail-route dans toute la Suisse
272452,Assainissement de la Rue En Varonnes
273181,"Lieferung von metallgekapselten, gasisolierten MS-Schaltanlagen"
273292,Auswuchtanlage Radsatz
273292,Système d'équilibrage des essieux
273351,Fourniture de câbles 60kV et montage d'accessoires 72.5kV.
273616,H27 Belagsreparaturen Los 1 - 2024 Belagsarbeiten
273634,750.00 Belagsersatz Era Veglia 2024 Belagsarbeiten
273669,Gesamtsanierung Schulanlage Melchenbühl
273688,Réfection du stade d’athlétisme de Colombier
273763,H27 Kreisel Samedan Belagsarbeiten
273934,H28b Stützmauern Rufnat Baumeisterarbeiten
273969,RC 780 - Yvorne - Digues de protection contre les chutes de pierres et les inondations - Travaux de génie civil
273995,"H13 Traversa Süd, SK und Deckbelag Trassee, Belagsarbeiten"
273999,748 Prada Baumeister- und Belagsarbeiten
274025,Sanierung Neumatt in Cham
274026,Extension et rénovation du collège de Bahyse II & III
274038,"Lindau, behindertengerechte BH Grafstal, Bauarbeiten"
274110,21130 Baumeister TO2 SH Herti
274117,"Aufstockung, Geamtsanierung Mehrzweckgebäude Schwerzistrasse 1, 8807 Freienbach"
274134,Marché de travaux portant sur la fabrication et l’installation d’éléments de mobilier urbain de signalétique de mobilité douce
274142,Abstellanlage Gorgen Giswil
274253,Beschaffung «Entwicklung parametrisches geologisches Tiefenlager»
274254,"Neubau Mehrzweckhalle Bläji, Koppigen"
274266,"Neubau Mehrzweckhalle Bläji, Koppigen"
274283,Gesamtsanierung Schulanlage Melchenbühl
274284,Gesamtsanierung Schulanlage Melchenbühl
274287,Gesamtsanierung Schulanlage Melchenbühl
274288,"Neubau Mehrzweckhalle Bläji, Koppigen"
274290,"Neubau Mehrzweckhalle Bläji, Koppigen"
274292,"Neubau Mehrzweckhalle Bläji, Koppigen"
274294,"Neubau Mehrzweckhalle Bläji, Koppigen"
274297,Immeubles Léman 11 et Navigation 4 - 1954 - Chauffage - ventilation
274299,"Neubau Mehrzweckhalle Bläji, Koppigen"
274301,"Neubau Mehrzweckhalle Bläji, Koppigen"
274302,Magnolia CMS Partner
274307,"Neubau Mehrzweckhalle Bläji, Koppigen"
274311,Ökologische Aufwertung Sägeweiher
274316,Maler- und Gipserarbeiten
274319,"Laufen, Neubau Reservoir Uf Sal"
274320,Intermodales Verkehrskonzept Knoten Bern Planerleistungen Koordinator Baustellenverkehr
274325,"Fernwärme Emmen, Tiefbauarbeiten im Siedlungsgebiet."
274333,Angebot Forwarder 6 Rad 2025
274336,"Uitikon, Schlierenstrasse"
274343,"Laufen, Neubau Reservoir Uf Sal"
274345,Beschaffung Pistolenholster
274346,"Laufen, Neubau Reservoir Uf Sal"
274358,BKP 211.9 Baumeisterarbeiten
